StockCode,Description,Total_Quantity,Total_Revenue,Total_Orders,Avg_Price
22138,BAKING SET 9 PIECE RETROSPOT ,9035,43070.91,1742,4.77
21843,RED RETROSPOT CAKE STAND,4298,42862.74,984,9.97
22111,SCOTTIE DOG HOT WATER BOTTLE,9092,42463.200000000004,1457,4.67
21754,HOME BUILDING BLOCK WORD,7231,42453.11,1831,5.87
21731,RED TOADSTOOL LED NIGHT LIGHT,27102,41824.26,1043,1.54
21175,GIN + TONIC DIET METAL SIGN,19755,40940.78,1385,2.07
22457,NATURAL SLATE HEART CHALKBOARD ,14187,40276.170000000006,1637,2.84
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,14630,40219.82,1144,2.75
48138,DOORMAT UNION FLAG,6146,40053.72,874,6.52
82494L,WOODEN FRAME ANTIQUE WHITE ,14368,39909.170000000006,1773,2.78
20727,LUNCH BAG  BLACK SKULL.,25392,39904.0,1997,1.57
21915,RED  HARMONICA IN BOX ,35229,39870.65,884,1.13
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,13874,39822.34,644,2.87
21232,STRAWBERRY CERAMIC TRINKET BOX,33899,39682.67,1818,1.17
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,649.5
21166,COOK WITH WINE METAL SIGN ,19652,37029.340000000004,1225,1.88
82482,WOODEN PICTURE FRAME WHITE FINISH,15643,37011.1,1658,2.37
20728,LUNCH BAG CARS BLUE,23304,36644.28,1797,1.57
84078A,SET/4 WHITE RETRO STORAGE CUBES ,1007,36259.65,234,36.01
22629,SPACEBOY LUNCH BOX ,20271,36150.99,1108,1.78
23284,DOORMAT KEEP CALM AND COME IN,5338,35880.85,648,6.72
23298,SPOTTY BUNTING,7633,35509.55,1003,4.65
85066,CREAM SWEETHEART MINI CHEST,2948,35264.729999999996,809,11.96
20713,JUMBO BAG OWLS,19463,35162.42,920,1.81
48194,DOORMAT HEARTS,5788,35069.4,857,6.06
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8848,34479.62,1298,3.9
22960,JAM MAKING SET WITH JARS,8454,33833.72,903,4.0
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12356,33670.240000000005,985,2.73
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7010,33298.3,1146,4.75
20726,LUNCH BAG WOODLAND,20916,33004.76,1585,1.58
22197,SMALL POPCORN HOLDER,42955,32505.93,1039,0.76
22699,ROSES REGENCY TEACUP AND SAUCER ,11939,32470.65,1056,2.72
20725,LUNCH BAG RED RETROSPOT,20294,32137.5,1520,1.58
84029E,RED WOOLLY HOTTIE WHITE HEART.,9259,31876.47,956,3.44
20685,DOORMAT RED RETROSPOT,4806,31864.2,758,6.63
21755,LOVE BUILDING BLOCK WORD,5367,31590.41,1485,5.89
48187,DOORMAT NEW ENGLAND,5146,31461.34,728,6.11
22630,DOLLY GIRL LUNCH BOX,17340,30921.64,998,1.78
22727,ALARM CLOCK BAKELIKE RED ,8512,30703.09,1144,3.61
85152,HAND OVER THE CHOCOLATE   SIGN ,16146,30615.930000000004,1300,1.9
82486,WOOD S/3 CABINET ANT WHITE FINISH,3913,30363.75,1002,7.76
22382,LUNCH BAG SPACEBOY DESIGN ,18834,30131.7,1874,1.6
22385,JUMBO BAG SPACEBOY DESIGN,16383,29810.15,971,1.82
21523,DOORMAT FANCY FONT HOME SWEET HOME,4825,29691.95,572,6.15
48185,DOORMAT FAIRY CAKE,4760,29116.96,420,6.12
20712,JUMBO BAG WOODLAND ANIMALS,15709,29105.5,915,1.85
15036,ASSORTED COLOURS SILK FAN,40994,28766.32,634,0.7
47590B,PINK HAPPY BIRTHDAY BUNTING,5652,28581.4,810,5.06
20679,EDWARDIAN PARASOL RED,6029,28557.920000000002,622,4.74
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10526,28513.300000000003,787,2.71
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4774,27952.22,1053,5.86
22379,RECYCLING BAG RETROSPOT ,14259,27893.78,1013,1.96
22139,RETROSPOT TEA SET CERAMIC 11 PC ,5745,27595.33,1145,4.8
22865,HAND WARMER OWL DESIGN,13675,27514.63,1058,2.01
22188,BLACK HEART CARD HOLDER,10255,27324.45,487,2.66
22622,BOX OF VINTAGE ALPHABET BLOCKS,2833,27251.26,511,9.62
20725,LUNCH BAG RED SPOTTY,17456,27237.6,1059,1.56
22666,RECIPE BOX PANTRY YELLOW DESIGN,9600,27222.52,1277,2.84
22077,6 RIBBONS RUSTIC CHARM,16026,27031.04,1361,1.69
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15358,26847.1,721,1.75
22659,LUNCH BOX I LOVE LONDON,15156,26596.719999999998,763,1.75
23245,SET OF 3 REGENCY CAKE TINS,5844,26566.280000000002,718,4.55
23199,JUMBO BAG APPLES,13875,26426.3,718,1.9
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,26407.35,1578,0.48
22467,GUMBALL COAT RACK,11460,26149.13,928,2.28
22492,MINI PAINT SET VINTAGE ,41507,25900.19,618,0.62
72741,GRAND CHOCOLATECANDLE,19284,25895.4,823,1.34
84991,60 TEATIME FAIRY CAKE CASES,52828,25785.92,1765,0.49
22752,SET 7 BABUSHKA NESTING BOXES,3273,25620.99,577,7.83
22726,ALARM CLOCK BAKELIKE GREEN,6713,24898.96,1041,3.71
22386,JUMBO BAG PINK WITH WHITE SPOTS,13766,24450.6,712,1.78
85099B,JUMBO BAG RED WHITE SPOTTY ,13879,24323.85,465,1.75
23355,HOT WATER BOTTLE KEEP CALM,5313,24302.55,719,4.57
47566B,TEA TIME PARTY BUNTING,5612,24255.3,655,4.32
22149,FELTCRAFT 6 FLOWER FRIENDS,12174,24248.29,1189,1.99
48138,DOOR MAT UNION FLAG,3733,24216.23,637,6.49
23201,JUMBO BAG ALPHABET,12533,24160.44,752,1.93
22624,IVORY KITCHEN SCALES,2916,24137.48,1065,8.28
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,24098.03,920,0.23
20972,PINK CREAM FELT CRAFT TRINKET BOX ,20064,23812.52,1224,1.19
37503,TEA TIME CAKE STAND IN GIFT BOX,2384,23784.8,465,9.98
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,23598.510000000002,1100,0.6
20971,PINK BLUE FELT CRAFT TRINKET BOX,20500,23554.3,1003,1.15
47590A,BLUE HAPPY BIRTHDAY BUNTING,4681,23531.47,633,5.03
22697,GREEN REGENCY TEACUP AND SAUCER,8500,23507.24,933,2.77
22866,HAND WARMER SCOTTY DOG DESIGN,11667,23436.660000000003,939,2.01
22197,POPCORN HOLDER,30919,23417.51,632,0.76
84836,ZINC METAL HEART DECORATION,19328,23331.43,1244,1.21
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12532,23322.62,408,1.86
22551,PLASTERS IN TIN SPACEBOY,14623,23194.95,1156,1.59
21485,RETROSPOT HEART HOT WATER BOTTLE,4895,23085.53,815,4.72
22507,MEMO BOARD RETROSPOT  DESIGN,5208,23083.44,737,4.43
22084,PAPER CHAIN KIT EMPIRE,8437,23049.95,704,2.73
23173,REGENCY TEAPOT ROSES ,2662,23033.52,354,8.65
82583,HOT BATHS METAL SIGN,11797,23010.120000000003,820,1.95
71459,HANGING JAM JAR T-LIGHT HOLDER,29255,22805.99,815,0.78
21930,JUMBO STORAGE BAG SKULLS,12305,22795.28,997,1.85
22158,3 HEARTS HANGING DECORATION RUSTIC,7982,22471.86,646,2.82
22961,JAM MAKING SET PRINTED,15867,22328.95,903,1.41
22867,HAND WARMER BIRD DESIGN,11000,22168.33,907,2.02
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,22109.079999999998,385,4.75
82600,NO SINGING METAL SIGN,11194,22097.04,970,1.97
84978,HANGING HEART JAR T-LIGHT HOLDER,19012,22079.739999999998,1087,1.16
22383,LUNCH BAG SUKI  DESIGN ,13896,22026.4,1073,1.59
21212,PACK OF 72 RETRO SPOT CAKE CASES,45129,21838.23,1160,0.48
21231,SWEETHEART CERAMIC TRINKET BOX,18488,21793.25,1171,1.18
21481,FAWN BLUE HOT WATER BOTTLE,7526,21779.5,834,2.89
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7709,21682.030000000002,1003,2.81
21212,PACK OF 72 RETROSPOT CAKE CASES,44721,21551.8,1348,0.48
84946,ANTIQUE SILVER TEA GLASS ETCHED,18604,21540.440000000002,789,1.16
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8849,21490.170000000002,599,2.43
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2999,21458.42,544,7.16
22835,HOT WATER BOTTLE I AM SO POORLY,4638,21398.28,815,4.61
22728,ALARM CLOCK BAKELIKE PINK,5833,21369.98,772,3.66
22087,PAPER BUNTING WHITE LACE,7752,21336.350000000002,663,2.75
84406B,CREAM CUPID HEARTS COAT HANGER,6682,21256.0,724,3.18
20749,ASSORTED COLOUR MINI CASES,2972,21169.64,726,7.12
22607,WOODEN ROUNDERS GARDEN SET ,2406,20978.47,643,8.72
22113,GREY HEART HOT WATER BOTTLE,5623,20977.78,913,3.73
22556,PLASTERS IN TIN CIRCUS PARADE ,13112,20950.16,1100,1.6
22090,PAPER BUNTING RETROSPOT,7632,20933.24,658,2.74
23202,JUMBO BAG VINTAGE LEAF,10695,20921.55,772,1.96
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5724,20838.9,758,3.64
22605,WOODEN CROQUET GARDEN SET,1710,20813.809999999998,548,12.17
22090,PAPER BUNTING RETRO SPOTS,7595,20723.25,607,2.73
23203,JUMBO BAG VINTAGE DOILY ,10620,20641.4,621,1.94
21314,SMALL GLASS HEART TRINKET POT,10447,20588.260000000002,711,1.97
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5366,20506.300000000003,654,3.82
22554,PLASTERS IN TIN WOODLAND ANIMALS,12824,20471.68,1097,1.6
22698,PINK REGENCY TEACUP AND SAUCER,7408,20329.640000000003,746,2.74
48184,DOORMAT ENGLISH ROSE ,3158,20298.8,464,6.43
20711,JUMBO BAG TOYS ,11326,20283.78,671,1.79
22969,HOMEMADE JAM SCENTED CANDLES,14012,20204.8,577,1.44
37449,CERAMIC CAKE STAND + HANGING CAKES,2277,20204.579999999998,410,8.87
21790,VINTAGE SNAP CARDS,25120,19957.34,1480,0.79
22585,PACK OF 6 BIRDY GIFT TAGS,16784,19950.85,950,1.19
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,4304,19921.27,692,4.63
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25389,19821.96,1141,0.78
22083,PAPER CHAIN KIT RETRO SPOT,7351,19804.550000000003,490,2.69
22617,BAKING SET SPACEBOY DESIGN,4165,19719.21,883,4.73
22294,HEART FILIGREE DOVE  SMALL,16260,19686.6,707,1.21
22941,CHRISTMAS LIGHTS 10 REINDEER,2487,19590.9,406,7.88
22273,FELTCRAFT DOLL MOLLY,7203,19332.93,701,2.68
22570,FELTCRAFT CUSHION RABBIT,5420,19282.55,677,3.56
21524,DOORMAT SPOTTY HOME SWEET HOME,2671,19215.5,636,7.19
48188,DOORMAT WELCOME PUPPIES,3345,19178.670000000002,368,5.73
22625,RED KITCHEN SCALES,2360,19149.63,781,8.11
21791,VINTAGE HEADS AND TAILS CARD GAME ,16199,19147.65,1050,1.18
22568,FELTCRAFT CUSHION OWL,5312,19128.13,771,3.6
22569,FELTCRAFT CUSHION BUTTERFLY,5357,18865.21,679,3.52
22413,METAL SIGN TAKE IT OR LEAVE IT ,6814,18863.02,766,2.77
85150,LADIES & GENTLEMEN METAL SIGN,8078,18847.98,889,2.33
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17242,18798.98,281,1.09
22501,PICNIC BASKET WICKER LARGE,2055,18794.25,497,9.15
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2525,18618.75,432,7.37
21622,VINTAGE UNION JACK CUSHION COVER,3517,18495.47,550,5.26
22558,CLOTHES PEGS RETROSPOT PACK 24 ,13410,18411.74,1017,1.37
21213,PACK OF 72 SKULL CAKE CASES,38530,18319.18,1156,0.48
22499,WOODEN UNION JACK BUNTING,3165,18251.280000000002,632,5.77
23206,LUNCH BAG APPLE DESIGN,11530,18220.5,866,1.58
22384,LUNCH BAG PINK POLKADOT,11392,18207.2,1101,1.6
21908,CHOCOLATE THIS WAY METAL SIGN,9396,18041.24,801,1.92
84949,SILVER HANGING T-LIGHT HOLDER,11635,18001.35,612,1.55
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1702,17888.71,383,10.51
22561,WOODEN SCHOOL COLOURING SET,11158,17861.22,838,1.6
21174,POTTERING IN THE SHED METAL SIGN,9247,17814.51,855,1.93
22555,PLASTERS IN TIN STRONGMAN,11048,17664.44,856,1.6
22456,NATURAL SLATE CHALKBOARD LARGE ,4016,17637.16,595,4.39
23344,JUMBO BAG 50'S CHRISTMAS ,8933,17636.04,586,1.97
22427,ENAMEL FLOWER JUG CREAM,3039,17471.23,702,5.75
21936,RED RETROSPOT PICNIC BAG,6292,17462.96,701,2.78
22061,LARGE CAKE STAND  HANGING STRAWBERY,2086,17354.85,443,8.32
22147,FELTCRAFT BUTTERFLY HEARTS,12605,17238.05,1026,1.37
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15028,17162.93,559,1.14
21479,WHITE SKULL HOT WATER BOTTLE ,4538,16917.32,738,3.73
21136,PAINTED METAL PEARS ASSORTED,10255,16907.51,714,1.65
22633,HAND WARMER UNION JACK,8364,16857.36,790,2.02
22560,TRADITIONAL MODELLING CLAY,14393,16851.64,655,1.17
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21125,16833.35,585,0.8
23203,JUMBO BAG DOILEY PATTERNS,8735,16737.1,454,1.92
22169,FAMILY ALBUM WHITE PICTURE FRAME,2094,16676.94,570,7.96
22505,MEMO BOARD COTTAGE DESIGN,3605,16599.89,655,4.6
21218,RED SPOTTY BISCUIT TIN,4715,16431.45,588,3.48
22847,BREAD BIN DINER STYLE IVORY,1049,16335.789999999999,435,15.57
84992,72 SWEETHEART FAIRY CAKE CASES,33936,16178.47,1176,0.48
21527,RED RETROSPOT TRADITIONAL TEAPOT ,2266,15892.74,508,7.01
21164,HOME SWEET HOME METAL SIGN ,5839,15888.490000000002,630,2.72
22297,HEART IVORY TRELLIS SMALL,12939,15836.59,646,1.22
22424,ENAMEL BREAD BIN CREAM,1300,15621.65,559,12.02
48173C,DOORMAT BLACK FLOCK ,2813,15618.36,290,5.55
22557,PLASTERS IN TIN VINTAGE PAISLEY ,9827,15614.59,991,1.59
22083,PAPER CHAIN KIT RETROSPOT,5514,15411.86,585,2.8
21877,HOME SWEET HOME MUG,13856,15399.56,650,1.11
22383,LUNCH BAG SUKI DESIGN ,9570,15332.9,899,1.6
22690,DOORMAT HOME SWEET HOME BLUE ,2493,15329.57,401,6.15
71053,WHITE METAL LANTERN,4306,15309.64,583,3.56
22662,LUNCH BAG DOLLY GIRL DESIGN,9715,15305.19,872,1.58
22632,HAND WARMER RED RETROSPOT,7578,15272.52,675,2.02
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16445,15241.51,821,0.93
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6418,15232.34,798,2.37
22296,HEART IVORY TRELLIS LARGE,9416,15218.08,739,1.62
84946,ANTIQUE SILVER T-LIGHT GLASS,12949,15176.42,534,1.17
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1632,15172.6,444,9.3
20685,DOOR MAT RED SPOT,2426,15093.48,369,6.22
22041,"RECORD FRAME 7"" SINGLE SIZE ",6845,15088.77,319,2.2
21843,RETRO SPOT CAKE STAND,1431,15083.449999999999,295,10.54
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4198,15067.14,416,3.59
20719,WOODLAND CHARLOTTE BAG,19027,15030.64,1062,0.79
22634,CHILDS BREAKFAST SET SPACEBOY ,1627,15021.4,464,9.23
22502,PICNIC BASKET WICKER SMALL,2985,14945.6,566,5.01
22652,TRAVEL SEWING KIT,9353,14859.81,716,1.59
21975,PACK OF 60 DINOSAUR CAKE CASES,30881,14818.01,1133,0.48
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3405,14796.15,373,4.35
22635,CHILDS BREAKFAST SET DOLLY GIRL ,1598,14787.949999999999,450,9.25
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4169,14719.35,578,3.53
21914,BLUE HARMONICA IN BOX ,11830,14667.47,815,1.24
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2309,14658.65,510,6.35
17003,BROCADE RING PURSE ,70082,14640.96,387,0.21
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7754,14626.73,451,1.89
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,4051,14609.91,460,3.61
21891,TRADITIONAL WOODEN SKIPPING ROPE,11721,14603.13,664,1.25
82582,AREA PATROLLED METAL SIGN,7346,14563.1,696,1.98
84375,SET OF 20 KIDS COOKIE CUTTERS,7275,14558.970000000001,626,2.0
20750,RED RETROSPOT MINI CASES,2021,14548.55,479,7.2
22193,RED DINER WALL CLOCK,1775,14527.09,554,8.18
85014B,RED RETROSPOT UMBRELLA,2613,14439.12,421,5.53
21889,WOODEN BOX OF DOMINOES,11803,14430.66,869,1.22
21258,VICTORIAN SEWING BOX LARGE,1229,14406.63,344,11.72
22487,WHITE WOOD GARDEN PLANT LADDER,1519,14256.96,808,9.39
22993,SET OF 4 PANTRY JELLY MOULDS,11769,14151.42,866,1.2
22759,SET OF 3 NOTEBOOKS IN PARCEL,8860,14138.4,634,1.6
21484,CHICK GREY HOT WATER BOTTLE,4085,14071.27,676,3.44
21165,BEWARE OF THE CAT METAL SIGN ,9080,14070.08,779,1.55
22619,SET OF 6 SOLDIER SKITTLES,3762,13950.85,574,3.71
21770,OPEN CLOSED METAL SIGN,2896,13926.810000000001,580,4.81
22384,LUNCH BAG PINK RETROSPOT,8738,13893.7,730,1.59
84378,SET OF 3 HEART COOKIE CUTTERS,11007,13862.84,944,1.26
22837,HOT WATER BOTTLE BABUSHKA ,3093,13807.25,354,4.46
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,3820,13805.16,445,3.61
84997D,CHILDRENS CUTLERY POLKADOT PINK,3528,13788.300000000001,323,3.91
21380,WOODEN HAPPY BIRTHDAY GARLAND,4877,13770.150000000001,540,2.82
22606,WOODEN SKITTLES GARDEN SET,1022,13722.74,337,13.43
35004C,SET OF 3 COLOURED  FLYING DUCKS,2851,13577.15,229,4.76
48111,DOORMAT 3 SMILEY CATS,2290,13552.78,326,5.92
22940,FELTCRAFT CHRISTMAS FAIRY,3286,13462.18,547,4.1
21217,RED SPOTTY ROUND CAKE TINS,1415,13458.25,418,9.51
21169,YOU'RE CONFUSING ME METAL SIGN ,8642,13438.58,621,1.56
47556B,TEA TIME TEA TOWELS ,5141,13363.35,408,2.6
84050,PINK HEART SHAPE EGG FRYING PAN,9547,13316.63,557,1.39
22191,IVORY DINER WALL CLOCK,1629,13271.9,475,8.15
22271,FELTCRAFT DOLL ROSIE,4744,13244.460000000001,691,2.79
79323P,PINK CHERRY LIGHTS,2234,13198.1,229,5.91
22295,HEART FILIGREE DOVE LARGE,8159,13184.07,620,1.62
22692,DOORMAT WELCOME TO OUR HOME,1935,13103.81,460,6.77
21094,SET/6 RED SPOTTY PAPER PLATES,17752,13068.56,692,0.74
23200,JUMBO BAG PEARS,6729,13034.92,470,1.94
23108,SET OF 10 LED DOLLY LIGHTS,2192,12972.73,351,5.92
23313,VINTAGE CHRISTMAS BUNTING,2748,12960.12,359,4.72
23356,LOVE HOT WATER BOTTLE,2325,12954.75,449,5.57
22236,CAKE STAND 3 TIER MAGIC GARDEN,1074,12951.9,391,12.06
22730,ALARM CLOCK BAKELIKE IVORY,3451,12951.5,616,3.75
21390,FILIGRIS HEART WITH BUTTERFLY,10622,12849.14,482,1.21
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,4538,12846.140000000001,714,2.83
35970,ZINC FOLKART SLEIGH BELLS,7851,12806.27,545,1.63
15044A,PINK PAPER PARASOL ,4894,12803.78,194,2.62
22621,TRADITIONAL KNITTING NANCY,8365,12780.57,719,1.53
21704,BAG 250g SWIRLY MARBLES,16824,12750.539999999999,464,0.76
22636,CHILDS BREAKFAST SET CIRCUS PARADE,1565,12716.380000000001,460,8.13
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,5331,12669.04,645,2.38
22946,WOODEN ADVENT CALENDAR CREAM,869,12588.45,208,14.49
22952,60 CAKE CASES VINTAGE CHRISTMAS,25179,12556.77,801,0.5
22655,VINTAGE RED KITCHEN CABINET,75,12550.0,52,167.33
48116,DOORMAT MULTICOLOUR STRIPE,2273,12541.22,193,5.52
48187,DOOR MAT NEW ENGLAND,1953,12520.95,423,6.41
22150,3 STRIPEY MICE FELTCRAFT,6971,12515.65,717,1.8
21871,SAVE THE PLANET MUG,11099,12515.44,600,1.13
23301,GARDENERS KNEELING PAD KEEP CALM ,7722,12463.78,756,1.61
62018,SOMBRERO ,9548,12413.8,123,1.3
21259,VICTORIAN SEWING BOX SMALL ,2171,12409.960000000001,553,5.72
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3407,12407.83,621,3.64
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,10290,12354.22,625,1.2
48129,DOORMAT TOPIARY,2048,12345.7,300,6.03
22766,PHOTO FRAME CORNICE,4246,12280.18,580,2.89
22355,CHARLOTTE BAG SUKI DESIGN,15411,12268.65,957,0.8
22627,MINT KITCHEN SCALES,1476,12219.99,558,8.28
22303,COFFEE MUG APPLES DESIGN,5310,12179.95,480,2.29
75049L,LARGE CIRCULAR MIRROR MOBILE,13566,12173.5,230,0.9
21912,VINTAGE SNAKES & LADDERS,3387,12157.97,615,3.59
22485,SET OF 2 WOODEN MARKET CRATES,995,12146.25,341,12.21
22776,SWEETHEART CAKESTAND 3 TIER,1292,12130.4,466,9.39
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15376,12124.119999999999,889,0.79
21669,BLUE STRIPE CERAMIC DRAWER KNOB,9897,12115.21,639,1.22
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,2944,12089.2,283,4.11
85042,ANTIQUE LILY FAIRY LIGHTS,2668,12081.0,281,4.53
20724,RED RETROSPOT CHARLOTTE BAG,15168,12034.8,908,0.79
23207,LUNCH BAG ALPHABET DESIGN,7533,11994.41,647,1.59
21217,RED RETROSPOT ROUND CAKE TINS,1268,11983.6,350,9.45
22366,DOORMAT AIRMAIL ,1943,11946.53,320,6.15
22553,PLASTERS IN TIN SKULLS,7363,11913.75,905,1.62
21535,RED RETROSPOT SMALL MILK JUG,4943,11908.050000000001,713,2.41
22846,BREAD BIN DINER STYLE RED ,771,11879.06,309,15.41
21888,BINGO SET,3219,11877.45,626,3.69
15056P,EDWARDIAN PARASOL PINK,2436,11872.810000000001,321,4.87
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,9592,11818.65,814,1.23
84212,"ASSORTED FLOWER COLOUR ""LEIS""",24665,11759.77,258,0.48
22584,PACK OF 6 PANNETONE GIFT BOXES,4793,11725.480000000001,498,2.45
21955,DOORMAT UNION JACK GUNS AND ROSES,2078,11722.24,275,5.64
79323W, WHITE CHERRY LIGHTS,1986,11697.300000000001,215,5.89
20723,STRAWBERRY CHARLOTTE BAG,14542,11654.8,988,0.8
23077,DOUGHNUT LIP GLOSS ,9642,11615.7,308,1.2
22654,DELUXE SEWING KIT ,2045,11611.27,440,5.68
23174,REGENCY SUGAR BOWL GREEN,2954,11567.24,268,3.92
21156,RETROSPOT CHILDRENS APRON,6437,11562.37,526,1.8
22464,HANGING METAL HEART LANTERN,7388,11530.56,645,1.56
22838,3 TIER CAKE TIN RED AND CREAM,844,11467.38,220,13.59
21668,RED STRIPE CERAMIC DRAWER KNOB,9391,11446.75,614,1.22
22804,CANDLEHOLDER PINK HANGING HEART,4069,11400.75,521,2.8
22192,BLUE DINER WALL CLOCK,1373,11358.78,511,8.27
47567B,TEA TIME KITCHEN APRON,2128,11321.320000000002,320,5.32
21080,SET/20 RED SPOTTY PAPER NAPKINS ,15165,11310.21,781,0.75
22207,FRYING PAN UNION FLAG,2858,11283.86,324,3.95
22365,DOORMAT RESPECTABLE HOUSE,1863,11282.69,244,6.06
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,14329,11229.27,890,0.78
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,8514,11187.26,697,1.31
22082,RIBBON REEL STRIPES DESIGN ,6878,11166.78,819,1.62
20969,RED FLORAL FELTCRAFT SHOULDER BAG,3090,11155.41,518,3.61
22623,BOX OF VINTAGE JIGSAW BLOCKS ,2195,11129.42,500,5.07
22750,FELTCRAFT PRINCESS LOLA DOLL,3039,11094.51,597,3.65
21906,PHARMACIE FIRST AID TIN,1642,11093.9,311,6.76
22088,PAPER BUNTING COLOURED LACE,4038,11086.900000000001,478,2.75
21485,RED SPOT HEART HOT WATER BOTTLE,2362,11031.1,410,4.67
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,9171,11022.43,563,1.2
84987,SET OF 36 TEATIME PAPER DOILIES,7832,11012.88,642,1.41
22444,GROW YOUR OWN PLANT IN A CAN ,8960,10976.56,328,1.23
